==== START logs for container kube-scheduler of pod kube-system/kube-scheduler-cluster-80ad2d17f29d423baccdce9f9ab1f072-control-plane ====
I0918 15:19:05.837991       1 registry.go:150] Registering EvenPodsSpread predicate and priority function
I0918 15:19:05.838091       1 registry.go:150] Registering EvenPodsSpread predicate and priority function
I0918 15:19:06.487444       1 serving.go:313] Generated self-signed cert in-memory
W0918 15:19:10.118464       1 authentication.go:349] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
W0918 15:19:10.119241       1 authentication.go:297] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
W0918 15:19:10.119347       1 authentication.go:298] Continuing without authentication configuration. This may treat all requests as anonymous.
W0918 15:19:10.119611       1 authentication.go:299] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
I0918 15:19:10.131149       1 registry.go:150] Registering EvenPodsSpread predicate and priority function
I0918 15:19:10.131554       1 registry.go:150] Registering EvenPodsSpread predicate and priority function
W0918 15:19:10.134099       1 authorization.go:47] Authorization is disabled
W0918 15:19:10.134139       1 authentication.go:40] Authentication is disabled
I0918 15:19:10.134160       1 deprecated_insecure_serving.go:51] Serving healthz insecurely on [::]:10251
I0918 15:19:10.135573       1 configmap_cafile_content.go:202] Starting client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0918 15:19:10.135640       1 shared_informer.go:223] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0918 15:19:10.137583       1 secure_serving.go:178] Serving securely on 127.0.0.1:10259
I0918 15:19:10.139069       1 tlsconfig.go:240] Starting DynamicServingCertificateController
E0918 15:19:10.141806       1 reflector.go:178] k8s.io/apiserver/pkg/server/dynamiccertificates/configmap_cafile_content.go:206: Failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
